FRName,BugURL,IssueTitle,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Description
CXF-1284,"https://issues.apache.org/jira/browse/CXF-1284
",fix failed testcase on jdk1.6,Sub-task,CLOSED,Major,Fixed,None,2.1,None,"run test on jdk1.6.0_10ea
some test failed:
common/common
==============
W3CDOMSteamReader:testReader
tools
wsdl/test
=======
Failed tests:
testNonUniqueBody(org.apache.cxf.tools.wsdlto.jaxws.CodeGenBugTest)
testCodeGen(org.apache.cxf.tools.wsdlto.jaxws.JAXWSContainerTest)
testSuppressCodeGen(org.apache.cxf.tools.wsdlto.jaxws.JAXWSContainerTest)
Tests in error:
testWsdlNoService(org.apache.cxf.tools.wsdlto.jaxws.CodeGenBugTest)
testNoServiceImport(org.apache.cxf.tools.wsdlto.jaxws.CodeGenBugTest)
testNoServiceNOPortType(org.apache.cxf.tools.wsdlto.jaxws.CodeGenBugTest)
Tests run: 106, Failures: 3, Errors: 3, Skipped: 0
javato
====
Failed tests:
testDocLitWrappedWithWrapperClass(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderTest)
testDocWrappedWithLocalName(org.apache.cxf.tools.java2wsdl.processor.internaljaxws.JaxwsServiceBuilderTest)
testHolder(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderTest)
testSoapHeader(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderTest)
testRpcLitNoSEI(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderTest)
testAegisBasic(org.apache.cxf.tools.java2ws.AegisTest)
testGeneratedWithElementryClass(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderNoAnnoTest)
testGeneratedWithDocWrappedClass(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderNoAnnoTest)
testGeneratedWithRPCClass(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderNoAnnoTest)
testGreeter(org.apache.cxf.tools.java2wsdl.processor.internal.jaxws.JaxwsServiceBuilderRPCTest)
10 failed
rt
frontend/jaxws
===========
jaxws.ServiceImplTest:testNonSpecificGetPort
javascript
========
javascript.DocLitBareClientTest:callCompliantNoArgs
systests
=======
jaxws.ClientServerTest:GetPortOneParam
BasicConnect2
ProviderXMLClientServerTest:testDomSourcePAYLOAD
SpringServletTest:testGetWSDL
servlet.ExternalServicesServletTest:testGetServiceList
CXFServletTest
Failed tests:
testGetWSDL(org.apache.cxf.systest.servlet.CXFServletTest)
testGetServiceList(org.apache.cxf.systest.servlet.CXFServletTest)
testGetWSDLWithXMLBinding(org.apache.cxf.systest.servlet.CXFServletTest)
provider.ProviderRPCClientServerTest:testSWA"
CXF-1015,"https://issues.apache.org/jira/browse/CXF-1015
",Context injection - UriInfo and HttpHeaders,Sub-task,CLOSED,Major,Fixed,2.1,2.1,JAX-RS,"Instance of UriInfo and HttpHeaders can be injected into a class filed or method parameters.
See section 4.1 and 4.2.
Make sure the injection scope is correct. Section 4.3"
CXF-363,"https://issues.apache.org/jira/browse/CXF-363
",Updates to the SchemaInfo model,New Feature,CLOSED,Major,Fixed,2.0-RC,2,None,"I am working on the corba binding based on cxf & we are using stax to read & write objects.
Since we have to write out the stax events, it would be good if we could get some information from the SchemaInfo object about the elementFormDefault & attributeFormDefault attributes.
Also, missing are the schemas that are imported inside the schema element. How do get these schemas from the service model? Should we create SchemaInfo's for the imported schemas? It would be helpful if we do it when we are parsing the wsdl, otherwise it would be messy to get the DOM element from the schema info & look for the imports...
I have attached a patch that fixes both the issues. Can someone provide feedback on this?
Balaji"
CXF-1009,"https://issues.apache.org/jira/browse/CXF-1009
",Support @QueryParam,Sub-task,CLOSED,Major,Fixed,2.1,2.1,JAX-RS,See section 2.4.1
CXF-1199,"https://issues.apache.org/jira/browse/CXF-1199
",new ServiceContractResolver that cxf can resolve wsdl file from extension repository/storage,New Feature,CLOSED,Major,Fixed,None,2.0.4,Core,"currently, cxf support get wsdl URL from local file or internet location. we can add ServiceContractResolver interface make cxf can get wsdl file from extension repository/storage like zip files, UDDI repository, DB storage, etc..
interface ServiceContractResolver
{ URL getContractURL(QName); }
and bus extension to register and unregister resolvers into cxf bus:
interface ServiceContractResolverRegistry
{ //cxf bus extension URL getContractURL(QName); void register(ServiceContractResolver); void unregister(ServiceContractResolver); bool isRegistered(ServiceContractResolver); }
;"
CXF-1147,"https://issues.apache.org/jira/browse/CXF-1147
",Refactoring the jca handler chain building.,Sub-task,CLOSED,Major,Fixed,2.0.2,2.0.3,Integration,"Now, the cxf uses hard-coded configuration in InvocationHandlerFactory class to build the jca handler chain as follow:
String[] classNames =
{""org.apache.cxf.jca.cxf.handlers.ProxyInvocationHandler"", ""org.apache.cxf.jca.cxf.handlers.ObjectMethodInvocationHandler"", ""org.apache.cxf.jca.cxf.handlers.InvokingInvocationHandler""}
;
It would be better for us to build the handler chain from configuration file, such as META-INF/org.apache.cxf.jca.handlers in classpath.
so if we add another jca module jar, say jca-security, we don't need to override the InvocationHandlerFactory to add the jca-security Hanlder,
we just need to add the org.apache.cxf.jca.handlers in jca-security jar, so it can be integrated seamless."
CXF-1130,"https://issues.apache.org/jira/browse/CXF-1130
",Add the weblogic specfic file in deploying RAR.,Sub-task,CLOSED,Major,Fixed,2.0.2,2.0.3,Integration,Add the weblogic-ra.xml and weblogic-ejb-jar.xml for deploying RAR in WebLogic.
CXF-1093,"https://issues.apache.org/jira/browse/CXF-1093
",create the polling thread by using WorkManager,Sub-task,CLOSED,Major,Fixed,2.0.2,2.0.3,Integration,"Now, in JCABusFactory, we create the polling thread directly and using the daemon mode.
1. According to JCA 1.5 spec, it would be better for us to delegate this thread to app server's WorkManager. Do not create thread in the Resource Adapter directly.
2. Write a adapter, so that Jetty is able to use the App servers ThreadPool instead of jetty its own."
CXF-1085,"https://issues.apache.org/jira/browse/CXF-1085
",EnhReq: Add support for TrustStores in PEM format,New Feature,CLOSED,Major,Fixed,2.0.2,2.0.3,Configuration,"Currently, we support config for key and trust stores along the lines of:
{{{
<http:tls(Client|Server)Parameters>
<sec:keyManagers keyPassword=""password"">
<sec:keyStore type=""pkcs12"" password=""password""
file=""src/test/java/org/apache/cxf/systest/http/resources/server.p12""/>
</sec:keyManagers>
<sec:trustManagers>
<sec:keyStore type=""JKS"" password=""password""
file=""src/test/java/org/apache/cxf/systest/http/resources/truststore.jks""/>
</sec:trustManagers>
</http:tls(Client|Server)Parameters>
}}}
I propose a new element [1], sec:pemStore, which can be added to a sec:trustManagers element [2] (but obviously not a sec:keyManagers element), along the lines of:
{{{
<http:tls(Client|Server)Parameters>
<sec:keyManagers keyPassword=""password"">
<sec:keyStore type=""pkcs12"" password=""password""
file=""src/test/java/org/apache/cxf/systest/http/resources/server.p12""/>
</sec:keyManagers>
<sec:trustManagers>
<sec:certStore
file=""src/test/java/org/apache/cxf/systest/http/resources/truststore.pem""/>
</sec:trustManagers>
</http:tls(Client|Server)Parameters>
}}}
The sec:pemStore element also supports the url and resource attributes, analogously to the sec:keyStore element.
The certificates in a pemStore are assumed to be sequence of catenated X.509 certificates, in PEM format.
Patch to follow shortly.
[1] I'd considered overloading the meaning of the ""type"" attribute in the KeyStoreType schema definition, but this is really an abuse of semantics �C the type attribute really means ""keystore encoding"".
[2] We use an xs:choice here, to avoid any ambiguity in config"
CXF-1082,"https://issues.apache.org/jira/browse/CXF-1082
",Improve the Log in jca module.,Sub-task,CLOSED,Major,Fixed,2.0.2,2.0.3,None,"Update the Log in jca module, so that it can be configured by other logging implementor, such as log4j, it uses java.util.logging by default."
CXF-1063,"https://issues.apache.org/jira/browse/CXF-1063
",Refactor the jca/hello_world_soap_http sample.,Sub-task,CLOSED,Major,Fixed,2.0.1,2.0.3,Integration,"1. Need to rename the hello_world_soap_http to outbound.
2. Update README.txt files."
CXF-1047,"https://issues.apache.org/jira/browse/CXF-1047
",Write EJBInvoker to publish the EJB servant.,Sub-task,CLOSED,Major,Fixed,2.0.1,2.0.3,Integration,"Now all the EJB invocation logic all belongs to the JCABusFactory.java, it would be better for us to write the EJBInvoker to do that. better integration with CXF."
CXF-1045,"https://issues.apache.org/jira/browse/CXF-1045
",JCA outbound codes refactoring.,Sub-task,CLOSED,Major,Fixed,2.0.1,2.0.3,Integration,"There are some outbound codes need to be refactored.
1. Use too many Log.fine or Log.info, this really made it bad or annoy to read the code.
2. Use the CXFBusFactory instead of SpringBusFactory, do some cleanup on the JCABusFactory."
CXF-1044,"https://issues.apache.org/jira/browse/CXF-1044
",Make JCA get Connection without providing wsdl.,Sub-task,CLOSED,Major,Fixed,2.0.1,2.0.3,Integration,"Now, if we want to get the connection, we need to supply the wsdlLocation, QName, SEI.
but we should provide only for SEI, address for the connectionrequestInfo."
CXF-787,"https://issues.apache.org/jira/browse/CXF-787
",Add optional support for a toString method to JAXB generated types,New Feature,CLOSED,Major,Fixed,2.0.1,2.0.1,Tooling,"A toString that gives a string representation of the xml content is required for generated JAXB types. This is an option that is available at code gen type, when wsdl2java is used and the result is a toString method that will coaless the content. A <null> string should be produced when a field in the type is absent.
This is handy for debugging and for logging."
CXF-1002,"https://issues.apache.org/jira/browse/CXF-1002
","Message Part is not named correctly (always called ""fault"") - this breaks XFire backward compatibility - Patch attached",Improvement,CLOSED,Major,Fixed,"2.0.1, 2.0.2",2.0.2,JAX-WS Runtime,"There's a one-man discussion here:
http://www.nabble.com/WSDL-part-name-incorrect.-How-do-you-change-it--tf4432101.html
CXF always names the part of a fault as the word ""fault"". IMHO it's better to name it as the fault's simple class name as this is how things were with XFire.
The simple patch attached fixes this."
CXF-899,"https://issues.apache.org/jira/browse/CXF-899
",Missing getFaultInfo() fallback patch - use @WebFault bean as faultInfo if getFaultInfo() is not present,Improvement,CLOSED,Major,Fixed,2.0.1,2.0.2,JAX-WS Runtime,"CXF has interpreted the spec as saying that the getFaultInfo() method MUST be specified on a class annotated with @WebFault.
On page 21 of the JAX-WS 2.0 Spec it says that the class annotated with @WebFault may have two constructors + the getFaultInfo() method. Since we're not enforcing the two constructors, why enforce the getFaultInfo()? There's absolutely no need to do this. The place where this is being enforced is the WebFaultOutInterceptor whose behavior should be changed to using the @WebFault class as the faultInfo bean if getFaultInfo() is not present. This is a good fallback method for cases where the user does not want the additional exception to part of the WSDL for whatever reason. In most cases, one exception is more than good enough to represent a fault.
This also helps those who are migrating from XFire as they can't afford to change the WSDL for existing users. I don't know how much emphasis the CXF team places on backwards compatibility but this alone is a very good reason to make this change.
The current behavior is that if the getFaultInfo() method is not specified then then the @WebFault annotated class' properties become part of the WSDL. The only thing stopping this from being functionally correct is the code in WebFaultOutInterceptor which requires a getFaultInfo() method.
I think this offers greater flexibility to users while still complying with the spec. This way those who'd like to specify getFaultInfo() can do so and those who don't want to, don't have to. I also brought this up on the commits mailing list:
http://www.nabble.com/forum/ViewPost.jtp?post=12055118&framed=y
I'm also uploading a patch for WebFaultOutInterceptor which has the fallback behavior of using the @WebFault bean as the faultInfo if getFaultInfo() is not present.
Thanks,
Zarar"
CXF-888,"https://issues.apache.org/jira/browse/CXF-888
",Control directory for on-disk attachments,Improvement,CLOSED,Major,Fixed,"2.0, 2.0.1",2.0.2,Core,"The directory where attachments are streamed to should be controllable, ideally on a per-service basis. The /tmp dir is not always the best place to put these as /tmp partitions could be small. They also are not secure at all."
CXF-683,"https://issues.apache.org/jira/browse/CXF-683
",Adding method in JAX-WS EndpointImpl in order to get Implementor class,Wish,CLOSED,Major,Fixed,2.0-RC,2,Core,"I'm porting the EasyBeans/Celtix integration to EasyBeans/CXF (exposing an EJB3 as a webservice).
In Celtix, we had a getImplementorClass() method in the EndpointImpl class.
This is not anymore the case in CXF for rt/frontend/jaxws/src/main/java/org/apache/cxf/jaxws/EndpointImpl.java
The problem is that the implementor object that is given to the EndpointImpl class (in my case) has to be a class and not an instance (the instance will be obtained from a pool by using an our own Invoker on the service).
In the EndpointImpl class, there is the use of the following code:
JaxWsImplementorInfo implInfo = new JaxWsImplementorInfo(implementor.getClass());
List<Handler> chain = builder.buildHandlerChainFromClass(implementor.getClass(), endpointName);
I wanted to know if ""implementor.getClass()"" could be changed into getImplementorClass() method
Then, I can override this method by returning the class. For now, it returns MyClass.getClass() which return java.lang.Class and this is not what is wanted."
CXF-635,"https://issues.apache.org/jira/browse/CXF-635
",Maven 2 Plugin for Java2WSDL,New Feature,CLOSED,Major,Fixed,None,2,Tooling,"I am attaching a patch for the cxf-wsdlgen-plugin. The cxf-wsdlgen-plugin is a Maven 2 plugin for generating the WSDL from annotated Java code. Essentially, it is a MOJO wrapper for JavaToWSDL. It can be used like so:
<build>
<plugins>
<plugin>
<groupId>org.apache.cxf</groupId>
<artifactId>cxf-wsdlgen-plugin</artifactId>
<version>2.0-incubator-SNAPSHOT</version>
<executions>
<execution>
<id>generate-wsdl</id>
<phase>process-classes</phase>
<configuration>
<className>org.apache.cxf.JavaToWSDLExampleService</className>
<!-- The following elements are all optional
<outputFile>C:\cxf-examples\myservice.wsdl</outputFile>
<classpath>${project.build.outputDirectory}</classpath>
<soap12>true</soap12>
<targetNamespace>http://org.apache.cxf/example</targetNamespace>
<serviceName>JavaToWSDLExampleService</serviceName>
<verbose>true</verbose>
<quiet>true</quiet>
-->
</configuration>
<goals>
<goal>java2wsdl</goal>
</goals>
</execution>
</executions>
</plugin>
<plugin>
<groupId>org.apache.maven.plugins</groupId>
<artifactId>maven-compiler-plugin</artifactId>
<configuration>
<source>1.5</source>
<target>1.5</target>
</configuration>
</plugin>
</plugins>
<defaultGoal>install</defaultGoal>
</build>
Note that className is the only required configuration parameter. If no outputFile is specified, it will put the WSDL in ${project.build.directory}/generated/wsdl. If classpath is not specified, it defaults to ${project.build.outputDirectory} (which is usually target/classes).
I originally intended to include this plugin as part of the cxf-codegen-plugin module, but ran into problems with cyclic dependencies in Maven. The cxf-codegen-plugin module would need to depend on cxf-tools-java2wsdl-- but cxf-tools-java2wsdl depends on cxf-codegen-plugin. I tried to get rid of the cyclic dependencies, but everytime I got rid of one, another would show up. So... cxf-wsdlgen-plugin is its own module."
CXF-603,"https://issues.apache.org/jira/browse/CXF-603
",Several ant build files in JBI demos are mangled,Sub-task,CLOSED,Major,Fixed,None,2,None,The invalid xml was probably caused by a bad search and replace
CXF-623,"https://issues.apache.org/jira/browse/CXF-623
",spring bean configuration should support simple wildcards,Improvement,CLOSED,Major,Fixed,2.0-RC,2,Configuration,"to apply configuration to a http destination I need to provide the following:
<bean name=""
{http://www.test.com}
MyPort.http-destination"" abstract=""true"">
<property name=""multiplexWithAddress"" value=""true""/>
</bean>
which matches a single port by name.
I would like to be able to provide
<bean name=""*.http-destination"" abstract=""true"">
<property name=""multiplexWithAddress"" value=""true""/>
</bean>
to indicate to apply the config to all http-destinations. To make this work in practice a class attribute is required, otherwise any wildcard would be matched against all beanNames. The package is probably not required in the className attribute.
<bean name=""*.http-destination"" abstract=""true"" class=""HttpDestination"">
<property name=""multiplexWithAddress"" value=""true""/>
</bean>
To get Spring to merge wildcard and beanName specific config may be a chalenge but it would be great. Possibly it is a case of configuring once with the wildcard match and once with the specific name."
CXF-494,"https://issues.apache.org/jira/browse/CXF-494
",Check jar file first before doing classpath search when resolving entires.,Improvement,CLOSED,Major,Fixed,None,2.0-RC,None,The attached patch changes slightly how the entires are resolved when the base uri is a jar file. The code will first check the parent jar for the entry and then performs classpath search if the entry is not found.
CXF-334,"https://issues.apache.org/jira/browse/CXF-334
",Logical handler's close() method is not properly called after completion,Sub-task,CLOSED,Major,Fixed,None,2.0-RC,JAX-WS Runtime,"Logical handler's close() method is not properly called after completion. A test case can be found from HandlerInvocationTest.testHandlersInvoked()
JAX-WS section 9.3.2.3:
A handler's close method is called at the conclusion of a message exchange pattern (MEP). It is called
just prior to the binding dispatching the final message, fault or exception of the MEP and may be used to
clean up per-MEP resources allocated by a handler. The close method is only called on handlers that were
previously invoked via either handleMessage or handleFault
Conformance (Invoking close): At the conclusion of an MEP, an implementation MUST call the close
method of each handler that was previously invoked during that MEP via either handleMessage or handle-
Fault.
Conformance (Order of close invocations): Handlers are invoked in the reverse order that they appear
in the handler chain."
CXF-333,"https://issues.apache.org/jira/browse/CXF-333
",Logical handler throws ProtocolException,Sub-task,CLOSED,Major,Fixed,None,2.0-RC,JAX-WS Runtime,"According to spec, when logical handler throws ProtocolException, JAX-WS 9.3.2.1:
Throw ProtocolException or a subclass This indicates that normal message processing should cease. 27
Subsequent actions depend on whether the MEP in use requires a response to the message currently 28
being processed or not:
Response Normal message processing stops, fault message processing starts. The message direction 1
is reversed, if the message is not already a fault message then it is replaced with a fault message4, 2
and the runtime invokes handleFault on the next4 handler or dispatches the message (see 3
section 9.1.2.2) if there are no further handlers. 4
No response Normal message processing stops, close is called on each previously invoked handler 5
in the chain, the exception is dispatched (see section 9.1.2.3).
Our current implementation does not conform to this yet. See two commented out test: HandlerInvocationTest.testLogicalHandlerThrowsProtocolExceptionClientSide() and HandlerInvocationTest.xtestLogicalHandlerThrowsProtocolExceptionServerSide"
CXF-332,"https://issues.apache.org/jira/browse/CXF-332
",Logical hander stops processing,Sub-task,CLOSED,Major,Fixed,None,2.0-RC,JAX-WS Runtime,"According to spec, when logical handler returns false:
Return false This indicates that normal message processing should cease. Subsequent actions depend
on whether the message exchange pattern (MEP) in use requires a response to the message currently
being processed2 or not:
Response The message direction is reversed, the runtime invokes handleMessage on the next
handler or dispatches the message (see section 9.1.2.2) if there are no further handlers.
Our current handler implmentation does not conform to this. See commented out test assertion in HandlerInvocationTest.testLogicalHandlerStopProcessing()"
CXF-149,"https://issues.apache.org/jira/browse/CXF-149
",Use individual spec jars from apache/geronimo rather than single jboss dependencies in jca module,Improvement,CLOSED,Major,Fixed,None,2.0-M1,None,The jca module currently uses j2ee 1.4 specs from jboss together with an unneeded jboss-common jar. Using a single full j2ee spec jar effectively prevents tracking exactly which specs are in use. The attached patch removes the unneeded jboss-common dependency and replaces the spec dependency with the j2ca 1.5 and ejb 2.1 spec jars from geronimo.
CXF-466,"https://issues.apache.org/jira/browse/CXF-466
",Check WebServicePermission,New Feature,CLOSED,Major,Fixed,None,2.0-RC,JAX-WS Runtime,"As according to JAX-WS 2.0 spec, the WebServicePermission should be checked when publishing an endpoint. The attached patch adds that feature.
The JAX-WS 2.0 spec only calls for checking that permission only when a SecurityManager is installed. However, JSR 109 always says that this permission must not be granted (even when SecurityManager is not installed). Therefore, the patch contains a bit of code that can also perform the WebServicePermission check when a SecurityManager is not installed. That code is only enabled when 'org.apache.cxf.jaxws.checkPublishEndpointPermission' system property is set (we will set this property in Geronimo)."
CXF-666,"https://issues.apache.org/jira/browse/CXF-666
",SSL Programtic and Spring Configuration and Jetty upgrade to 6.1.3,Improvement,CLOSED,Major,Fixed,2.1,2,"Configuration, Transports","The SSL Configuration needs some improvement to give us more handing of the JSSE components, both programatically and in Spring configuration. A proposal to change the configuration so that we may place KeyManagers, and TrustManagers to be both spring configured as well as programatically configured. Also to remove certain configuration things, such as MaxChainLength, that are are not supported and unimplemented as they may be performed by other things such as interceptors and trust deciders. This will allow us to upgrade to Jetty 6.1.3 as well."
CXF-851,"https://issues.apache.org/jira/browse/CXF-851
","wsld2java -xjc usage is too minimal, there is no way to know what plugin options are available.",Improvement,CLOSED,Major,Fixed,2.0.1,2.0.1,Tooling,"wsdl2java supports -xjc that can be used to pass args to XJC and have it load plugins. The primary focus of the option is to allow plugins to be loaded so it would be nice to know what plugins are available. Something like -xjc-X should show the available plugins.
Also, the ts plugin should exist in the distribution modules not just in the manifest jar."
CXF-803,"https://issues.apache.org/jira/browse/CXF-803
",Configuring interceptors using annotations,New Feature,CLOSED,Major,Fixed,2,2.0.1,Configuration,"It would be helpful to configure interceptors using annotations. CXF would benefit by having annotations similar to XFire's org.codehaus.xfire.annotations.InHandlers and org.codehaus.xfire.annotations.OutHandlers as it would allow specifying specific interceptors for service implementations.
This issue came up on the mailing list: http://www.nabble.com/Configuring-interceptors-using-annotations-tf4097300.html
Thanks,
Zarar"
CXF-902,"https://issues.apache.org/jira/browse/CXF-902
",Add java_first_pojo sample,Sub-task,CLOSED,Major,Fixed,2.1,2.0.2,None,"Add a java_first_pojo sample, using JAXB data binding by default, but you can uncomment those two lines in sample code to use the Aegis data binding:
server-side:
//svrFactory.getServiceFactory().setDataBinding(new AegisDatabinding());
client-side:
//factory.getServiceFactory().setDataBinding(new AegisDatabinding());"
CXF-438,"https://issues.apache.org/jira/browse/CXF-438
",Trust Decider Callback for Conduit,New Feature,CLOSED,Major,Fixed,None,2.0-RC,"Core, Transports","A callback is needed on Conduits that may extract certain information from their underlying protocol implementations that will allow a trust decision to be made. For instance, an HTTP Conduit, once connected should call back with the local bind address, local port, ip address and port of the peer. For a conduit using TLS underneath HTTPS, should also present selected cipher suite and peer certificates as well as selected local certificates, most likely the JSSE SSLSession.
The callback should throw an appropriate security exception should trust not be established, and that exception shall propagate up to the application."
CXF-440,"https://issues.apache.org/jira/browse/CXF-440
",OASIS catalog support,New Feature,CLOSED,Major,Fixed,2.0-RC,2.0-RC,JAX-WS Runtime,"The attached patch contains basic support for OASIS catalog resolution for WSDL and XSD files as required by the JAX-WS spec.
The catalog resolution is done using the Apache Commons Resolver API. Special WSDLLocator and XmlSchemaURIResolver implementations are provided to perform catalog-based resolution. Also, WSDLManagerImpl and WSDLServiceBuilder are updated to use the new resolvers. Various test cases are also included.
By default, (as defined by the spec) the code loads all META-INF/jax-ws-catalog.xml catalogs from the context classloader. The user can overwrite this default behavior by passing a Catalog instance on the bus (as an extension). If there is a better way to pass custom Catalog instances around please let me know.
Also, there is one critical fix to common/common/src/main/java/org/apache/cxf/resource/URIResolver.java class. The member variables must be reset after each resolve() call. Otherwise, if current resolution fails, the previously resolved InputSource will be returned."
CXF-445,"https://issues.apache.org/jira/browse/CXF-445
",Accessing Connection-based info from the transport,Improvement,CLOSED,Major,Fixed,2.0-RC,2.0-RC,Transports,"Original post to cxf-dev mailinglist. Patch to follow:
I'd like to get access to some connection-based information from the transport �C in particular, properties relating to any security context established at the transport (e.g., via an SSL handshake, or via a GSS-Accept) �C
Primarily I'm thinking about the server-side of an invocation, though I suspect there may be client-side requirements, as well, though at present they are not as pressing for me. (They may be later).
In any event, I've found that the transport is not populating the Message with any of the information I need, so I'd like to propose what I think should be a simple solution.
First, I understand the fact that there are potentially many different transport implementations, even perhaps for the same protocols. So in some cases, this information may not be accessible by the transport, which is unfortunate (and perhaps motivation for not using the transport all together, depending on the business requirements). So the solution should allow for the possibility that some transports can't provide the needed info, so that consumers of the information can code defensively in these situations (throw an exception, log a warning, whatever).
I can see how the transport destination implementations are instantiating the Message structures, which in turn get passed to the various interceptors (again, talking about the server-side here). So I'd like the transports, as the divine creators of Messages, to populate said messages with the contextual information I need. The question then becomes, what should this information look like, and how should it be keyed on the Message?
We have several alternatives, which I'd like suggestions on before submitting a patch.
First, I assume for purely organizational purposes we don't want a huge collection of tags on the Message. Not that it matters much (the Message is currently implemented as a HashMap, so adding a lot of data should not have an impact on lookup), but perhaps for purely aestheic reasons, it would be better to aggregate this information in some comprehensible manner.
Going on that assumption, we have some options. We could define a type or collection thereof, each of which has a collection of accessors (and mutators, for the benefit of our transports), which define which data is available, where the types stowed on these structs are common, well-known, and guaranteed likely-to-exist types, e.g.,
class/interface TLSTransportInfo {
java.security.cert.Certificate[] getPeerCertificateChain() ...
}
I started to do this, but the LISP programmer in me said ""there has to be a better way"". (I have an innate repulsion to vacuous code, but I'm old-fashioned that way So I turned to our good friend java.util.Map for inspiration (who needs types when you have a cons!). Why not define leverage a Map<String, Object>, and define a contract for what the structure of the map needs to be �C what tags are associated which what values, which entries are required, vs which are optional. Hey, they might even be able to be recursive structures, if that's not too difficult for consumers to manage. The idea is that the data contract is all documented somewhere, so the producers and consumers of the information just need to consult the docs for the expected behavior.
This has the advantage that we don't have to hand-write all these structs, which are nothing but a collection of accessors and mutators, results in fewer types, and in general just seems a lot cleaner to me. (I suppose if we could codegen these structs, then that would be an advantage, but I'm not sure if you can codegene structs from schema, where the objects stored on the structs are native Java objects.)
I realize that the Message type is a lot like this (it implements Map<String, Object>), but the semantics of ""Message"" are probably not appropriate for this use. Perhaps this new type could be a base-type for Message, so that it has better visibility/use in CF as a whole. Then a Message would extend this type, which it may also contain. Nothing like confusing our users!
Anyway, do folks see this as a potentially valuable addition to CXF? Either way, I need the information from the transport. I think it just boils down to how we want that information to be represented."
CXF-542,"https://issues.apache.org/jira/browse/CXF-542
",Support the factory pattern using a single stateless service endpoint,New Feature,CLOSED,Major,Fixed,None,2.0-RC,Core,"provide support fo the features described at http://mail-archives.apache.org/mod_mbox/incubator-cxf-dev/200704.mbox/%3c1D195F515BDFE04EA40FA8D046308D6A0302AB@emea-ems1.IONAGLOBAL.com%3e
The factory pattern of statefull service interaction does not scale with webservices. However in the case of a single implementation endpoint where the state is embedded in the endpoint reference, it is possible to scale the factory pattern in a reasonable matter. the state embedded in the endpoint reference is used as a key into some persistent store that is used for the duration on the request dispatch.
Support of this nature requires a mechanism to propagate state in an endpoint reference. ie: create an endpoint reference for an existing service with an embedded id, the option to retrieve the id at runtime from the current endpoint reference.
For a client, an easy way to use an endpoint reference is required. Something like the jaxws2.0 service.getPort(endpointreferencetype...)"
